utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3825/3825-ssr.xml? Trying to re-download "/app:Skrivemåte>
utility_to_osm - WARNING - ssr:stedsnr = 5522 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5659 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 231467 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 232370 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 21497: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sigmundtjønn')]"
utility_to_osm - WARNING - ssr:stedsnr = 28078 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28319 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28420 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28672 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28678 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28802 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28976 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 32017 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 56207 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 56569 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 240093 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 240024 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63119 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63269 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63767 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64103 has multiple (9) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64154 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64016 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64071 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64072 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64076 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64366 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64503 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64516 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64531 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64535 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64537 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64544 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64265 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64467 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64710 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64902 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64904: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sørenssteinen')]"
utility_to_osm - WARNING - ssr:stedsnr = 64916 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64807 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64808 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64817 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64826 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64838 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65499 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65610: No priority spelling found for lang = no, using alt_name to get "[('no', 'Tjønndalstjønnane')]"
utility_to_osm - WARNING - ssr:stedsnr = 65627: No priority spelling found for lang = no, using alt_name to get "[('no', 'Grunntjønn')]"
utility_to_osm - WARNING - ssr:stedsnr = 65627 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65629 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65502 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65508 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65509 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65519 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65522 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65875 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65753 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65756 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66645: No priority spelling found for lang = no, using alt_name to get "[('no', 'Tosketjønnuten')]"
utility_to_osm - WARNING - ssr:stedsnr = 245230 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85109 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245244 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245293 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245342 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245515 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245531 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245540 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245551 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88028 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88029 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88084 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88311 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245830 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88411 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88383 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245879 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88886 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246067 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246072 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246052 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89589 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246391 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89674 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 89682 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246090 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246171 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246173 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246339 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246346 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246449 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246475 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246489 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246556 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246637 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246564 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246589 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246593 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246673 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246746 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246853 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246854 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246857 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247477 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246894: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nedre Berutjønn')]"
utility_to_osm - WARNING - ssr:stedsnr = 246898 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246900 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246928 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246934 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246942 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246980 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246983 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246994 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247324 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247328 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247330 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247334 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247341: No priority spelling found for lang = no, using alt_name to get "[('no', 'Fauskestøyl')]"
utility_to_osm - WARNING - ssr:stedsnr = 247341 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247353 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247529 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247550 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247586 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247596 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247712 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247714 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247718 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247722: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kråmdalslega')]"
utility_to_osm - WARNING - ssr:stedsnr = 247722 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247723 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247729 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247697 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247738 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247744: No priority spelling found for lang = no, using alt_name to get "[('no', 'Driftenutane')]"
utility_to_osm - WARNING - ssr:stedsnr = 247744 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247834 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247842 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124004 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124020 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124185 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124314 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124254 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124258 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124211 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124213 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124259 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124264 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124414 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124504 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124524 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124552 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124560 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124601 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124500 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124620 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124651 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124667 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124858 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124859 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124866 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124867 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124868 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124751 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124753 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124757 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124912 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124916 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124973 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125000 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125100 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125428 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125463 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125359 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125362 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125369 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125371 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125374 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125548: No priority spelling found for lang = no, using alt_name to get "[('no', 'Reinekvåmmi')]"
utility_to_osm - WARNING - ssr:stedsnr = 125548 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125551 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125552 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125556 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125596 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125600 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125758 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125763 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125647 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125649 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125655: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kollsnutvollen')]"
utility_to_osm - WARNING - ssr:stedsnr = 125655 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125698 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125834 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125835 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125843 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126608: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skardbu-Tjønndalen')]"
utility_to_osm - WARNING - ssr:stedsnr = 142433: No priority spelling found for lang = no, using alt_name to get "[('no', 'Flådalsbekken')]"
utility_to_osm - WARNING - ssr:stedsnr = 149063 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149066 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149070 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149423 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149433 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149804 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149704 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 168376 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185140 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185186 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185324 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185329 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185337 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185034 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185040 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185096 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185390 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185510 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185532 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185542 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185597: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kovesand')]"
utility_to_osm - WARNING - ssr:stedsnr = 185597 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185833 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185844 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185928 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185948 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186608 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186635 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186636 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186580 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186706: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bjønnurnibba')]"
utility_to_osm - WARNING - ssr:stedsnr = 186706 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186713 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186739 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186990 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187475 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187480 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187482 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188479 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210115 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210132 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210532 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210728 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270030 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270098 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270338 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270320 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270360 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270367 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270470 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271329 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271332 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271618 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271674 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271634 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271639 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 271661. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 271753 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271762 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271980 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271983 has multiple (3) positions, using the first one!
